id,task,alternative,param,param_id,choice
2,2,3,0,1,3
2,3,3,1,1,3
2,4,3,1,1,1
2,5,3,0,1,2
2,1,4,0,1,2
2,2,4,0,1,3
2,3,4,0,1,3
2,4,4,0,1,1
2,5,4,0,1,2
2,1,1,0,2,2
2,2,1,1,2,3
2,3,1,0,2,3
2,4,1,0,2,1
2,5,1,1,2,2
2,1,2,1,2,2
2,2,2,1,2,3
2,3,2,0,2,3
2,4,2,0,2,1
2,5,2,1,2,2
2,1,3,1,2,2
2,2,3,0,2,3
2,3,3,0,2,3
2,4,3,0,2,1
2,5,3,0,2,2
2,1,4,0,2,2
2,2,4,0,2,3
2,3,4,0,2,3
2,4,4,0,2,1
2,5,4,0,2,2
2,1,1,0,3,2
2,2,1,0,3,3
2,3,1,0,3,3
2,4,1,0,3,1
2,5,1,1,3,2
2,1,2,1,3,2
2,2,2,1,3,3
2,3,2,0,3,3
2,4,2,1,3,1
2,5,2,0,3,2
2,1,3,0,3,2
2,2,3,0,3,3
2,3,3,1,3,3
2,4,3,0,3,1
2,5,3,1,3,2
2,1,4,0,3,2
2,2,4,0,3,3
2,3,4,0,3,3
2,4,4,0,3,1
2,5,4,0,3,2
2,1,1,1,4,2
2,2,1,1,4,3
2,3,1,0,4,3
2,4,1,0,4,1
2,5,1,0,4,2
2,1,2,0,4,2
2,2,2,0,4,3
2,3,2,0,4,3
2,4,2,0,4,1
2,5,2,0,4,2
2,1,3,0,4,2
2,2,3,1,4,3
2,3,3,0,4,3
2,4,3,1,4,1
2,5,3,0,4,2
2,1,4,0,4,2
2,2,4,0,4,3
2,3,4,0,4,3
2,4,4,0,4,1
2,5,4,0,4,2
2,1,1,1,5,2
2,2,1,1,5,3
2,3,1,1,5,3
2,4,1,0,5,1
2,5,1,0,5,2
2,1,2,0,5,2
2,2,2,0,5,3
2,3,2,0,5,3
2,4,2,0,5,1
2,5,2,0,5,2
2,1,3,0,5,2
2,2,3,0,5,3
2,3,3,0,5,3
2,4,3,0,5,1
2,5,3,0,5,2
2,1,4,0,5,2
2,2,4,0,5,3
2,3,4,0,5,3
2,4,4,0,5,1
2,5,4,0,5,2
2,1,1,0,6,2
2,2,1,0,6,3
2,3,1,0,6,3
2,4,1,0,6,1
2,5,1,0,6,2
2,1,2,0,6,2
2,2,2,0,6,3
2,3,2,0,6,3
2,4,2,0,6,1
2,5,2,0,6,2
2,1,3,1,6,2
2,2,3,0,6,3
2,3,3,0,6,3
2,4,3,1,6,1
2,5,3,0,6,2
2,1,4,0,6,2
2,2,4,0,6,3
2,3,4,0,6,3
2,4,4,0,6,1
2,5,4,0,6,2
2,1,1,0,7,2
2,2,1,0,7,3
2,3,1,0,7,3
2,4,1,1,7,1
2,5,1,0,7,2
2,1,2,0,7,2
2,2,2,0,7,3
2,3,2,0,7,3
2,4,2,0,7,1
2,5,2,1,7,2
2,1,3,0,7,2
2,2,3,1,7,3
2,3,3,0,7,3
2,4,3,0,7,1
2,5,3,0,7,2
2,1,4,0,7,2
2,2,4,0,7,3
2,3,4,0,7,3
2,4,4,0,7,1
2,5,4,0,7,2
2,1,1,0,8,2
2,2,1,0,8,3
2,3,1,0,8,3
2,4,1,0,8,1
2,5,1,0,8,2
2,1,2,0,8,2
2,2,2,0,8,3
2,3,2,0,8,3
2,4,2,0,8,1
2,5,2,0,8,2
2,1,3,0,8,2
2,2,3,0,8,3
2,3,3,0,8,3
2,4,3,0,8,1
2,5,3,0,8,2
2,1,4,1,8,2
2,2,4,1,8,3
2,3,4,1,8,3
2,4,4,1,8,1
2,5,4,1,8,2
3,1,1,0,1,2
3,2,1,1,1,3
3,3,1,0,1,1
3,4,1,0,1,2
3,5,1,0,1,2
3,1,2,0,1,2
3,2,2,1,1,3
3,3,2,1,1,1
3,4,2,1,1,2
3,5,2,0,1,2
3,1,3,0,1,2
3,2,3,0,1,3
3,3,3,0,1,1
3,4,3,0,1,2
3,5,3,0,1,2
3,1,4,0,1,2
3,2,4,0,1,3
3,3,4,0,1,1
3,4,4,0,1,2
3,5,4,0,1,2
3,1,1,1,2,2
3,2,1,0,2,3
3,3,1,0,2,1
3,4,1,1,2,2
3,5,1,1,2,2
3,1,2,0,2,2
3,2,2,0,2,3
3,3,2,0,2,1
3,4,2,0,2,2
3,5,2,0,2,2
3,1,3,0,2,2
3,2,3,0,2,3
3,3,3,1,2,1
3,4,3,1,2,2
3,5,3,0,2,2
3,1,4,0,2,2
3,2,4,0,2,3
3,3,4,0,2,1
3,4,4,0,2,2
3,5,4,0,2,2
3,1,1,1,3,2
3,2,1,0,3,3
3,3,1,1,3,1
3,4,1,0,3,2
3,5,1,0,3,2
3,1,2,1,3,2
3,2,2,0,3,3
3,3,2,1,3,1
3,4,2,1,3,2
3,5,2,1,3,2
3,1,3,0,3,2
3,2,3,0,3,3
3,3,3,0,3,1
3,4,3,0,3,2
3,5,3,0,3,2
3,1,4,0,3,2
3,2,4,0,3,3
3,3,4,0,3,1
3,4,4,0,3,2
3,5,4,0,3,2
3,1,1,0,4,2
3,2,1,0,4,3
3,3,1,0,4,1
3,4,1,0,4,2
3,5,1,0,4,2
3,1,2,0,4,2
3,2,2,1,4,3
3,3,2,0,4,1
3,4,2,0,4,2
3,5,2,0,4,2
3,1,3,1,4,2
3,2,3,1,4,3
3,3,3,0,4,1
3,4,3,1,4,2
3,5,3,0,4,2
3,1,4,0,4,2
3,2,4,0,4,3
3,3,4,0,4,1
3,4,4,0,4,2
3,5,4,0,4,2
3,1,1,0,5,2
3,2,1,0,5,3
3,3,1,0,5,1
3,4,1,0,5,2
3,5,1,1,5,2
3,1,2,0,5,2
3,2,2,0,5,3
3,3,2,0,5,1
3,4,2,0,5,2
3,5,2,0,5,2
3,1,3,0,5,2
3,2,3,0,5,3
3,3,3,0,5,1
3,4,3,1,5,2
3,5,3,0,5,2
3,1,4,0,5,2
3,2,4,0,5,3
3,3,4,0,5,1
3,4,4,0,5,2
3,5,4,0,5,2
3,1,1,0,6,2
3,2,1,0,6,3
3,3,1,0,6,1
3,4,1,1,6,2
3,5,1,0,6,2
3,1,2,0,6,2
3,2,2,0,6,3
3,3,2,0,6,1
3,4,2,0,6,2
3,5,2,0,6,2
3,1,3,1,6,2
3,2,3,0,6,3
3,3,3,0,6,1
3,4,3,0,6,2
3,5,3,1,6,2
3,1,4,0,6,2
3,2,4,0,6,3
3,3,4,0,6,1
3,4,4,0,6,2
3,5,4,0,6,2
3,1,1,0,7,2
3,2,1,1,7,3
3,3,1,0,7,1
3,4,1,0,7,2
3,5,1,0,7,2
3,1,2,0,7,2
3,2,2,0,7,3
3,3,2,0,7,1
3,4,2,0,7,2
3,5,2,0,7,2
3,1,3,0,7,2
3,2,3,0,7,3
3,3,3,1,7,1
3,4,3,0,7,2
3,5,3,0,7,2
3,1,4,0,7,2
3,2,4,0,7,3
3,3,4,0,7,1
3,4,4,0,7,2
3,5,4,0,7,2
3,1,1,0,8,2
3,2,1,0,8,3
3,3,1,0,8,1
3,4,1,0,8,2
3,5,1,0,8,2
3,1,2,0,8,2
3,2,2,0,8,3
3,3,2,0,8,1
3,4,2,0,8,2
3,5,2,0,8,2
3,1,3,0,8,2
3,2,3,0,8,3
3,3,3,0,8,1
3,4,3,0,8,2
3,5,3,0,8,2
3,1,4,1,8,2
3,2,4,1,8,3
3,3,4,1,8,1
3,4,4,1,8,2
3,5,4,1,8,2
4,1,1,0,1,3
4,2,1,0,1,2
4,3,1,0,1,3
4,4,1,1,1,2
4,5,1,1,1,3
4,1,2,0,1,3
4,2,2,0,1,2
4,3,2,1,1,3
4,4,2,0,1,2
4,5,2,0,1,3
4,1,3,1,1,3
4,2,3,1,1,2
4,3,3,0,1,3
4,4,3,0,1,2
4,5,3,0,1,3
4,1,4,0,1,3
4,2,4,0,1,2
4,3,4,0,1,3
4,4,4,0,1,2
4,5,4,0,1,3
4,1,1,0,2,3
4,2,1,0,2,2
4,3,1,1,2,3
4,4,1,0,2,2
4,5,1,0,2,3
4,1,2,1,2,3
4,2,2,1,2,2
4,3,2,0,2,3
4,4,2,1,2,2
4,5,2,0,2,3
4,1,3,0,2,3
4,2,3,0,2,2
4,3,3,0,2,3
4,4,3,0,2,2
4,5,3,1,2,3
4,1,4,0,2,3
4,2,4,0,2,2
4,3,4,0,2,3
4,4,4,0,2,2
4,5,4,0,2,3
4,1,1,0,3,3
4,2,1,0,3,2
4,3,1,1,3,3
4,4,1,1,3,2
4,5,1,1,3,3
4,1,2,0,3,3
4,2,2,1,3,2
4,3,2,1,3,3
4,4,2,0,3,2
4,5,2,1,3,3
4,1,3,1,3,3
4,2,3,0,3,2
4,3,3,0,3,3
4,4,3,0,3,2
4,5,3,0,3,3
4,1,4,0,3,3
4,2,4,0,3,2
4,3,4,0,3,3
4,4,4,0,3,2
4,5,4,0,3,3
4,1,1,0,4,3
4,2,1,1,4,2
4,3,1,0,4,3
4,4,1,0,4,2
4,5,1,0,4,3
4,1,2,1,4,3
4,2,2,0,4,2
4,3,2,0,4,3
4,4,2,0,4,2
4,5,2,0,4,3
4,1,3,0,4,3
4,2,3,1,4,2
4,3,3,0,4,3
4,4,3,0,4,2
4,5,3,0,4,3
4,1,4,0,4,3
4,2,4,0,4,2
4,3,4,0,4,3
4,4,4,0,4,2
4,5,4,0,4,3
4,1,1,0,5,3
4,2,1,0,5,2
4,3,1,0,5,3
4,4,1,0,5,2
4,5,1,0,5,3
4,1,2,1,5,3
4,2,2,0,5,2
4,3,2,0,5,3
4,4,2,1,5,2
4,5,2,0,5,3
4,1,3,0,5,3
4,2,3,0,5,2
4,3,3,0,5,3
4,4,3,1,5,2
4,5,3,0,5,3
4,1,4,0,5,3
4,2,4,0,5,2
4,3,4,0,5,3
4,4,4,0,5,2
4,5,4,0,5,3
4,1,1,0,6,3
4,2,1,1,6,2
4,3,1,0,6,3
4,4,1,0,6,2
4,5,1,0,6,3
4,1,2,0,6,3
4,2,2,0,6,2
4,3,2,0,6,3
4,4,2,0,6,2
4,5,2,0,6,3
4,1,3,0,6,3
4,2,3,0,6,2
4,3,3,1,6,3
4,4,3,0,6,2
4,5,3,1,6,3
4,1,4,0,6,3
4,2,4,0,6,2
4,3,4,0,6,3
4,4,4,0,6,2
4,5,4,0,6,3
4,1,1,1,7,3
4,2,1,0,7,2
4,3,1,0,7,3
4,4,1,0,7,2
4,5,1,0,7,3
4,1,2,0,7,3
4,2,2,0,7,2
4,3,2,0,7,3
4,4,2,0,7,2
4,5,2,0,7,3
4,1,3,0,7,3
4,2,3,0,7,2
4,3,3,0,7,3
4,4,3,0,7,2
4,5,3,0,7,3
4,1,4,0,7,3
4,2,4,0,7,2
4,3,4,0,7,3
4,4,4,0,7,2
4,5,4,0,7,3
4,1,1,0,8,3
4,2,1,0,8,2
4,3,1,0,8,3
4,4,1,0,8,2
4,5,1,0,8,3
4,1,2,0,8,3
4,2,2,0,8,2
4,3,2,0,8,3
4,4,2,0,8,2
4,5,2,0,8,3
4,1,3,0,8,3
4,2,3,0,8,2
4,3,3,0,8,3
4,4,3,0,8,2
4,5,3,0,8,3
4,1,4,1,8,3
4,2,4,1,8,2
4,3,4,1,8,3
4,4,4,1,8,2
4,5,4,1,8,3
5,1,1,0,1,2
5,2,1,0,1,1
5,3,1,1,1,2
5,4,1,1,1,2
5,5,1,1,1,2
5,1,2,0,1,2
5,2,2,1,1,1
5,3,2,1,1,2
5,4,2,0,1,2
5,5,2,0,1,2
5,1,3,0,1,2
5,2,3,0,1,1
5,3,3,0,1,2
5,4,3,0,1,2
5,5,3,0,1,2
5,1,4,0,1,2
5,2,4,0,1,1
5,3,4,0,1,2
5,4,4,0,1,2
5,5,4,0,1,2
5,1,1,1,2,2
5,2,1,0,2,1
5,3,1,0,2,2
5,4,1,0,2,2
5,5,1,0,2,2
5,1,2,0,2,2
5,2,2,0,2,1
5,3,2,0,2,2
5,4,2,0,2,2
5,5,2,1,2,2
5,1,3,0,2,2
5,2,3,0,2,1
5,3,3,1,2,2
5,4,3,1,2,2
5,5,3,0,2,2
5,1,4,0,2,2
5,2,4,0,2,1
5,3,4,0,2,2
5,4,4,0,2,2
5,5,4,0,2,2
5,1,1,1,3,2
5,2,1,0,3,1
5,3,1,1,3,2
5,4,1,0,3,2
5,5,1,0,3,2
5,1,2,0,3,2
5,2,2,1,3,1
5,3,2,0,3,2
5,4,2,1,3,2
5,5,2,1,3,2
5,1,3,0,3,2
5,2,3,0,3,1
5,3,3,0,3,2
5,4,3,0,3,2
5,5,3,1,3,2
5,1,4,0,3,2
5,2,4,0,3,1
5,3,4,0,3,2
5,4,4,0,3,2
5,5,4,0,3,2
5,1,1,0,4,2
5,2,1,1,4,1
5,3,1,0,4,2
5,4,1,0,4,2
5,5,1,0,4,2
5,1,2,0,4,2
5,2,2,0,4,1
5,3,2,1,4,2
5,4,2,0,4,2
5,5,2,0,4,2
5,1,3,0,4,2
5,2,3,1,4,1
5,3,3,0,4,2
5,4,3,0,4,2
5,5,3,0,4,2
5,1,4,0,4,2
5,2,4,0,4,1
5,3,4,0,4,2
5,4,4,0,4,2
5,5,4,0,4,2
5,1,1,0,5,2
5,2,1,0,5,1
5,3,1,0,5,2
5,4,1,0,5,2
5,5,1,1,5,2
5,1,2,1,5,2
5,2,2,0,5,1
5,3,2,0,5,2
5,4,2,0,5,2
5,5,2,0,5,2
5,1,3,0,5,2
5,2,3,0,5,1
5,3,3,0,5,2
5,4,3,0,5,2
5,5,3,0,5,2
5,1,4,0,5,2
5,2,4,0,5,1
5,3,4,0,5,2
5,4,4,0,5,2
5,5,4,0,5,2
5,1,1,0,6,2
5,2,1,0,6,1
5,3,1,0,6,2
5,4,1,0,6,2
5,5,1,0,6,2
5,1,2,0,6,2
5,2,2,0,6,1
5,3,2,0,6,2
5,4,2,0,6,2
5,5,2,0,6,2
5,1,3,1,6,2
5,2,3,1,6,1
5,3,3,1,6,2
5,4,3,0,6,2
5,5,3,0,6,2
5,1,4,0,6,2
5,2,4,0,6,1
5,3,4,0,6,2
5,4,4,0,6,2
5,5,4,0,6,2
5,1,1,0,7,2
5,2,1,1,7,1
5,3,1,0,7,2
5,4,1,1,7,2
5,5,1,0,7,2
5,1,2,0,7,2
5,2,2,0,7,1
5,3,2,0,7,2
5,4,2,0,7,2
5,5,2,0,7,2
5,1,3,0,7,2
5,2,3,0,7,1
5,3,3,0,7,2
5,4,3,0,7,2
5,5,3,0,7,2
5,1,4,0,7,2
5,2,4,0,7,1
5,3,4,0,7,2
5,4,4,0,7,2
5,5,4,0,7,2
5,1,1,0,8,2
5,2,1,0,8,1
5,3,1,0,8,2
5,4,1,0,8,2
5,5,1,0,8,2
5,1,2,0,8,2
5,2,2,0,8,1
5,3,2,0,8,2
5,4,2,0,8,2
5,5,2,0,8,2
5,1,3,0,8,2
5,2,3,0,8,1
5,3,3,0,8,2
5,4,3,0,8,2
5,5,3,0,8,2
5,1,4,1,8,2
5,2,4,1,8,1
5,3,4,1,8,2
5,4,4,1,8,2
5,5,4,1,8,2
6,1,1,0,1,2
6,2,1,0,1,1
6,3,1,1,1,2
6,4,1,1,1,2
6,5,1,1,1,2
6,1,2,0,1,2
6,2,2,1,1,1
6,3,2,1,1,2
6,4,2,0,1,2
6,5,2,0,1,2
6,1,3,0,1,2
6,2,3,0,1,1
6,3,3,0,1,2
6,4,3,0,1,2
6,5,3,0,1,2
6,1,4,0,1,2
6,2,4,0,1,1
6,3,4,0,1,2
6,4,4,0,1,2
6,5,4,0,1,2
6,1,1,1,2,2
6,2,1,0,2,1
6,3,1,0,2,2
6,4,1,0,2,2
6,5,1,0,2,2
6,1,2,0,2,2
6,2,2,0,2,1
6,3,2,0,2,2
6,4,2,0,2,2
6,5,2,1,2,2
6,1,3,0,2,2
6,2,3,0,2,1
6,3,3,1,2,2
6,4,3,1,2,2
6,5,3,0,2,2
6,1,4,0,2,2
6,2,4,0,2,1
6,3,4,0,2,2
6,4,4,0,2,2
6,5,4,0,2,2
6,1,1,1,3,2
6,2,1,0,3,1
6,3,1,1,3,2
6,4,1,0,3,2
6,5,1,0,3,2
6,1,2,0,3,2
6,2,2,1,3,1
6,3,2,0,3,2
6,4,2,1,3,2
6,5,2,1,3,2
6,1,3,0,3,2
6,2,3,0,3,1
6,3,3,0,3,2
6,4,3,0,3,2
6,5,3,1,3,2
6,1,4,0,3,2
6,2,4,0,3,1
6,3,4,0,3,2
6,4,4,0,3,2
6,5,4,0,3,2
6,1,1,0,4,2
6,2,1,1,4,1
6,3,1,0,4,2
6,4,1,0,4,2
6,5,1,0,4,2
6,1,2,0,4,2
6,2,2,0,4,1
6,3,2,1,4,2
6,4,2,0,4,2
6,5,2,0,4,2
6,1,3,0,4,2
6,2,3,1,4,1
6,3,3,0,4,2
6,4,3,0,4,2
6,5,3,0,4,2
6,1,4,0,4,2
6,2,4,0,4,1
6,3,4,0,4,2
6,4,4,0,4,2
6,5,4,0,4,2
6,1,1,0,5,2
6,2,1,0,5,1
6,3,1,0,5,2
6,4,1,0,5,2
6,5,1,1,5,2
6,1,2,1,5,2
6,2,2,0,5,1
6,3,2,0,5,2
6,4,2,0,5,2
6,5,2,0,5,2
6,1,3,0,5,2
6,2,3,0,5,1
6,3,3,0,5,2
6,4,3,0,5,2
6,5,3,0,5,2
6,1,4,0,5,2
6,2,4,0,5,1
6,3,4,0,5,2
6,4,4,0,5,2
6,5,4,0,5,2
6,1,1,0,6,2
6,2,1,0,6,1
6,3,1,0,6,2
6,4,1,0,6,2
6,5,1,0,6,2
6,1,2,0,6,2
6,2,2,0,6,1
6,3,2,0,6,2
6,4,2,0,6,2
6,5,2,0,6,2
6,1,3,1,6,2
6,2,3,1,6,1
6,3,3,1,6,2
6,4,3,0,6,2
6,5,3,0,6,2
6,1,4,0,6,2
6,2,4,0,6,1
6,3,4,0,6,2
6,4,4,0,6,2
6,5,4,0,6,2
6,1,1,0,7,2
6,2,1,1,7,1
6,3,1,0,7,2
6,4,1,1,7,2
6,5,1,0,7,2
6,1,2,0,7,2
6,2,2,0,7,1
6,3,2,0,7,2
6,4,2,0,7,2
6,5,2,0,7,2
6,1,3,0,7,2
6,2,3,0,7,1
6,3,3,0,7,2
6,4,3,0,7,2
6,5,3,0,7,2
6,1,4,0,7,2
6,2,4,0,7,1
6,3,4,0,7,2
6,4,4,0,7,2
6,5,4,0,7,2
6,1,1,0,8,2
6,2,1,0,8,1
6,3,1,0,8,2
6,4,1,0,8,2
6,5,1,0,8,2
6,1,2,0,8,2
6,2,2,0,8,1
6,3,2,0,8,2
6,4,2,0,8,2
6,5,2,0,8,2
6,1,3,0,8,2
6,2,3,0,8,1
6,3,3,0,8,2
6,4,3,0,8,2
6,5,3,0,8,2
6,1,4,1,8,2
6,2,4,1,8,1
6,3,4,1,8,2
6,4,4,1,8,2
6,5,4,1,8,2
7,1,1,0,1,4
7,2,1,1,1,4
7,3,1,0,1,4
7,4,1,0,1,4
7,5,1,0,1,4
7,1,2,0,1,4
7,2,2,1,1,4
7,3,2,1,1,4
7,4,2,1,1,4
7,5,2,0,1,4
7,1,3,0,1,4
7,2,3,0,1,4
7,3,3,0,1,4
7,4,3,0,1,4
7,5,3,0,1,4
7,1,4,0,1,4
7,2,4,0,1,4
7,3,4,0,1,4
7,4,4,0,1,4
7,5,4,0,1,4
7,1,1,1,2,4
7,2,1,0,2,4
7,3,1,0,2,4
7,4,1,1,2,4
7,5,1,1,2,4
7,1,2,0,2,4
7,2,2,0,2,4
7,3,2,0,2,4
7,4,2,0,2,4
7,5,2,0,2,4
7,1,3,0,2,4
7,2,3,0,2,4
7,3,3,1,2,4
7,4,3,1,2,4
7,5,3,0,2,4
7,1,4,0,2,4
7,2,4,0,2,4
7,3,4,0,2,4
7,4,4,0,2,4
7,5,4,0,2,4
7,1,1,1,3,4
7,2,1,0,3,4
7,3,1,1,3,4
7,4,1,0,3,4
7,5,1,0,3,4
7,1,2,1,3,4
7,2,2,0,3,4
7,3,2,1,3,4
7,4,2,1,3,4
7,5,2,1,3,4
7,1,3,0,3,4
7,2,3,0,3,4
7,3,3,0,3,4
7,4,3,0,3,4
7,5,3,0,3,4
7,1,4,0,3,4
7,2,4,0,3,4
7,3,4,0,3,4
7,4,4,0,3,4
7,5,4,0,3,4
7,1,1,0,4,4
7,2,1,0,4,4
7,3,1,0,4,4
7,4,1,0,4,4
7,5,1,0,4,4
7,1,2,0,4,4
7,2,2,1,4,4
7,3,2,0,4,4
7,4,2,0,4,4
7,5,2,0,4,4
7,1,3,1,4,4
7,2,3,1,4,4
7,3,3,0,4,4
7,4,3,1,4,4
7,5,3,0,4,4
7,1,4,0,4,4
7,2,4,0,4,4
7,3,4,0,4,4
7,4,4,0,4,4
7,5,4,0,4,4
7,1,1,0,5,4
7,2,1,0,5,4
7,3,1,0,5,4
7,4,1,0,5,4
7,5,1,1,5,4
7,1,2,0,5,4
7,2,2,0,5,4
7,3,2,0,5,4
7,4,2,0,5,4
7,5,2,0,5,4
7,1,3,0,5,4
7,2,3,0,5,4
7,3,3,0,5,4
7,4,3,1,5,4
7,5,3,0,5,4
7,1,4,0,5,4
7,2,4,0,5,4
7,3,4,0,5,4
7,4,4,0,5,4
7,5,4,0,5,4
7,1,1,0,6,4
7,2,1,0,6,4
7,3,1,0,6,4
7,4,1,1,6,4
7,5,1,0,6,4
7,1,2,0,6,4
7,2,2,0,6,4
7,3,2,0,6,4
7,4,2,0,6,4
7,5,2,0,6,4
7,1,3,1,6,4
7,2,3,0,6,4
7,3,3,0,6,4
7,4,3,0,6,4
7,5,3,1,6,4
7,1,4,0,6,4
7,2,4,0,6,4
7,3,4,0,6,4
7,4,4,0,6,4
7,5,4,0,6,4
7,1,1,0,7,4
7,2,1,1,7,4
7,3,1,0,7,4
7,4,1,0,7,4
7,5,1,0,7,4
7,1,2,0,7,4
7,2,2,0,7,4
7,3,2,0,7,4
7,4,2,0,7,4
7,5,2,0,7,4
7,1,3,0,7,4
7,2,3,0,7,4
7,3,3,1,7,4
7,4,3,0,7,4
7,5,3,0,7,4
7,1,4,0,7,4
7,2,4,0,7,4
7,3,4,0,7,4
7,4,4,0,7,4
7,5,4,0,7,4
7,1,1,0,8,4
7,2,1,0,8,4
7,3,1,0,8,4
7,4,1,0,8,4
7,5,1,0,8,4
7,1,2,0,8,4
7,2,2,0,8,4
7,3,2,0,8,4
7,4,2,0,8,4
7,5,2,0,8,4
7,1,3,0,8,4
7,2,3,0,8,4
7,3,3,0,8,4
7,4,3,0,8,4
7,5,3,0,8,4
7,1,4,1,8,4
7,2,4,1,8,4
7,3,4,1,8,4
7,4,4,1,8,4
7,5,4,1,8,4
8,1,1,0,1,2
8,2,1,0,1,1
8,3,1,0,1,1
8,4,1,0,1,1
8,5,1,1,1,2
8,1,2,0,1,2
8,2,2,1,1,1
8,3,2,0,1,1
8,4,2,0,1,1
8,5,2,0,1,2
8,1,3,1,1,2
8,2,3,1,1,1
8,3,3,1,1,1
8,4,3,0,1,1
8,5,3,0,1,2
8,1,4,0,1,2
8,2,4,0,1,1
8,3,4,0,1,1
8,4,4,0,1,1
8,5,4,0,1,2
8,1,1,1,2,2
8,2,1,0,2,1
8,3,1,1,2,1
8,4,1,0,2,1
8,5,1,0,2,2
8,1,2,0,2,2
8,2,2,0,2,1
8,3,2,0,2,1
8,4,2,1,2,1
8,5,2,1,2,2
8,1,3,0,2,2
8,2,3,0,2,1
8,3,3,0,2,1
8,4,3,1,2,1
8,5,3,0,2,2
8,1,4,0,2,2
8,2,4,0,2,1
8,3,4,0,2,1
8,4,4,0,2,1
8,5,4,0,2,2
8,1,1,1,3,2
8,2,1,1,3,1
8,3,1,0,3,1
